Chongqing Changan Automobile Co Ltd,3.77,3 613 200,10 566 431
Zhuzhou CSR Times Electric Co Ltd,3.61,1 325 000,10 114 211
Value Partners Group Ltd,3.49,5 907 000,9 793 368
Shanghai Pharmaceuticals Holding Co Ltd,3.29,3 309 900,9 222 164
Beijing Capital Land Ltd,3.2,12 126 001,8 963 038
Sino-Ocean Land Holdings Ltd,3.14,11 816 500,8 815 897
Canvest Environmental Protection Grou...,3.12,16 721 000,8 759 438
Bbmg Corp,3.07,7 775 000,8 611 486
Sunac China Holdings Ltd,2.82,6 712 000,7 913 243
Hindustan Petroleum Corp Ltd,2.82,900 000,7 905 315
China Everbright Ltd,2.53,2 392 000,7 091 548
P-Note Midea Group CO LTD,2.49,1 333 200,6 991 555
Hengdeli Holdings Ltd,2.44,34 220 000,6 855 385
China City Railway Transportation Tec...,2.28,18 140 000,6 390 890
China CNR Corp Ltd,1.95,2 989 000,5 471 743
Shenzhou International Group Holdings...,1.9,1 265 000,5 323 295
SKS Microfinance Ltd,1.86,790 100,5 218 174
Bharat Forge Ltd,1.86,295 900,5 216 685
Matahari Department Store Tbk PT,1.78,4 152 425,5 002 877
JK Lakshmi Cement Ltd,1.64,912 000,4 613 067
D&L Industries Inc,1.62,11 321 600,4 537 889
China Shipping Container Lines Co Ltd,1.59,8 819 000,4 457 450
Titan Co Ltd,1.58,824 000,4 431 917
Marico Ltd,1.57,778 400,4 393 363
Anta Sports Products Ltd,1.54,2 191 000,4 308 567
Bata India Ltd,1.53,300 000,4 296 088
Siloam International Hospitals Tbk PT,1.47,4 212 100,4 117 817
Redington India Ltd,1.43,2 403 500,4 022 058
HT Media Ltd,1.43,2 650 000,4 006 366
Pembangunan Perumahan Persero Tbk Pt,1.42,14 686 600,3 968 633
Supreme Industries Ltd,1.28,375 000,3 597 900
Sobha Ltd,1.28,650 000,3 577 790
Gujarat Pipavav Port Ltd,1.19,1 068 600,3 327 188
Eva Precision Industrial Holdings Ltd,1.19,11 466 000,3 326 711
China Aircraft Leasing Group Holdings...,1.14,2 054 000,3 206 733
Wonderla Holidays Ltd,1.1,825 000,3 090 342
The Ramco Cements Ltd,1.09,709 000,3 051 804
IRB Infrastructure Developers Ltd,1.06,904 000,2 965 205
China Communications Construction Co Ltd,1.05,1 806 000,2 948 469
P-Note Midea Group CO LTD,0.92,494 300,2 592 204
LIC Housing Finance Ltd,0.82,379 500,2 293 101
Tree House Education and Accessories Ltd,0.77,388 000,2 147 386
Just Dial Ltd,0.74,138 800,2 087 312
Texhong Textile Group Ltd,0.69,1 799 079,1 924 281
GD Express Carrier Bhd,0.62,4 355 000,1 745 999
Nexteer Automotive Group Ltd,0.52,1 445 000,1 455 722
Yestar International Holdings Co Ltd,0.49,3 337 500,1 375 647
Tata Global Beverages Ltd,0.41,576 500,1 151 028
Gateway Distriparks Limited,0.4,225 600,1 116 720
MY EG Services Bhd,0.13,593 200,376 060
Zee Entertainment Enterprises Ltd,0.09,21 210 000,244 369
Allsec Technologies Ltd,0.06,498 816,161 549
China CDM Exchange Centre Ltd,0.01,8 300 000,39 840
