Ping An Insurance Group Co Of China Ltd,5.57,48 000,615 643,
Tencent Holdings LTD,4.68,27 900,516 848,
China Mobile Ltd,4.67,40 500,516 185,
New China Life Insurance Co Ltd,3.43,68 300,378 634,
Beijing Capital Land Ltd,3.19,476 000,351 840,
Canvest Environmental Protection Grou...,3.12,657 000,344 175,
Chongqing Changan Automobile Co Ltd,3.08,116 500,340 692,
Value Partners Group Ltd,2.99,199 000,329 927,
China Telecom Corp Ltd,2.92,486 000,322 860,
China Resources Land Ltd,2.72,92 222,299 955,
P-Note Midea Group CO LTD,2.63,55 500,291 053,
Shanghai Pharmaceuticals Holding Co Ltd,2.62,103 800,289 211,
Hong Kong Exchanges and Clearing Ltd,2.57,8 300,283 434,
Zhuzhou CSR Times Electric Co Ltd,2.49,36 000,274 801,
Sunac China Holdings Ltd,2.43,228 000,268 805,
China City Railway Transportation Tec...,2.4,752 133,264 983,
Sino-Ocean Land Holdings Ltd,2.14,317 000,236 503,
Hengdeli Holdings Ltd,2.05,1 128 000,225 975,
China Life Insurance Co Ltd,1.89,48 000,208 622,
China Everbright Ltd,1.88,70 000,207 529,
China CNR Corp Ltd,1.86,112 000,205 030,
China Petroleum & Chemical Corp,1.79,236 000,197 266,
China Communications Construction Co Ltd,1.52,103 000,168 157,
Bbmg Corp,1.5,149 500,165 584,
China Shipping Container Lines Co Ltd,1.02,222 000,112 207,
Shenzhou International Group Holdings...,0.76,20 000,84 163,
Daqing Dairy Holdings Ltd,0.53,2 551 000,58 741,
Eva Precision Industrial Holdings Ltd,0.51,194 000,56 287,
Texhong Textile Group Ltd,0.49,50 921,54 465,
Anta Sports Products Ltd,0.48,27 000,53 095,
China CDM Exchange Centre Ltd,0.01,200 000,960
