Apple Inc,2.14,98 496,92 888 408
Microsoft Corp,1.11,131 175,48 079 142
Exxon Mobil Corp,1.07,71 008,46 750 008
General Electric Co,1.04,221 364,45 171 834
Nestle SA,0.9,64 830,39 335 194
Johnson & Johnson,0.81,47 033,35 158 183
Wells Fargo & Co,0.78,82 216,34 136 581
Novartis AG,0.71,38 812,30 932 752
JPMorgan Chase & Co,0.69,62 634,29 857 360
Coca-Cola Co/The,0.64,91 548,27 980 720
Procter & Gamble Co/The,0.63,45 376,27 186 922
Pfizer Inc,0.62,105 526,26 980 836
Roche Holding AG,0.6,11 752,26 201 713
Verizon Communications Inc,0.6,68 767,26 137 692
Chevron Corp,0.6,31 184,26 097 660
PepsiCo Inc,0.57,34 520,24 743 134
HSBC Holdings Plc,0.55,321 397,24 121 213
Toyota Motor Corp,0.55,45 200,23 788 529
AT&T Inc,0.53,88 469,23 093 038
Walt Disney Co/The,0.5,26 746,21 911 916
Merck & Co Inc,0.49,47 139,21 156 661
Amazon.Com Inc,0.48,6 534,20 767 164
Berkshire Hathaway Inc,0.48,19 464,20 711 408
International Business Machines Corp,0.47,15 724,20 295 844
Citigroup Inc,0.46,50 307,20 212 993
Facebook Inc,0.46,33 606,19 947 558
Intel Corp,0.45,80 374,19 714 177
Google Inc A-Shares,0.45,4 756,19 667 279
Cvs Health Corp,0.45,26 093,19 522 777
Oracle Corp,0.45,59 246,19 474 072
Google Inc C-Shares,0.44,4 769,19 310 280
Gilead Sciences Inc,0.44,25 382,19 224 152
Cisco Systems Inc,0.42,83 454,18 130 253
Home Depot Inc/The,0.41,21 855,17 618 360
Visa Inc,0.37,32 732,16 291 364
United Technologies Corp,0.37,18 860,16 166 097
BP Plc,0.37,296 801,16 157 379
3m Co,0.37,13 532,15 947 149
Comcast Corp,0.36,36 144,15 731 693
Royal Dutch Shell Plc,0.35,64 562,15 397 637
Amgen Inc,0.34,12 566,14 952 670
Schlumberger Ltd,0.34,20 964,14 945 941
Sanofi,0.34,18 866,14 699 964
Novo Nordisk A/S,0.34,34 018,14 611 185
Bayer AG,0.33,13 181,14 499 160
Anheuser-Busch InBev NV,0.33,15 597,14 428 342
Qualcomm Inc,0.33,27 973,14 333 757
GlaxoSmithKline Plc,0.33,81 505,14 294 495
Total SA,0.32,33 283,13 925 237
AbbVie Inc,0.32,28 276,13 777 352
Actavis plc,0.31,6 391,13 622 362
,0.31,23 970,13 447 601
Euro Stoxx 50 Jun 15 / VGM5,0.3,44,13 256 255
Unitedhealth Group Inc,0.3,15 702,13 181 118
Banco Santander SA,0.3,230 130,13 128 230
Bristol-Myers Squibb Co,0.3,27 228,13 075 904
BHP Billiton Ltd,0.28,65 026,12 356 092
Walgreens Boots Alliance Inc,0.28,19 652,12 280 908
Mcdonald's Corp,0.28,16 643,12 108 657
BASF SE,0.27,15 682,11 923 666
Mitsubishi UFJ Financial Group Inc,0.27,215 525,11 615 756
MasterCard Inc,0.27,17 070,11 603 801
Union Pacific Corp,0.27,14 476,11 587 982
Siemens AG,0.27,13 891,11 567 039
Daimler AG,0.26,15 603,11 466 191
Mondelez International Inc,0.26,39 172,11 326 080
Vodafone Group Plc,0.26,424 202,11 325 389
Biogen Inc,0.26,3 998,11 265 363
AstraZeneca Plc,0.25,21 261,11 070 662
Diageo Plc,0.25,51 400,10 782 433
Unilever NV,0.25,32 414,10 692 119
Celgene Corp,0.24,13 078,10 649 234
Costco Wholesale Corp,0.24,9 647,10 399 015
ConocoPhillips,0.24,20 194,10 335 515
Royal Dutch Shell Plc,0.23,41 790,10 136 033
AIA Group Ltd,0.23,198 552,9 998 848
Goldman Sachs Group Inc/The,0.23,6 693,9 906 463
Us Bancorp/Mn,0.22,30 232,9 766 353
American International Group Inc,0.22,22 994,9 753 441
Kinder Morgan Inc/De,0.22,29 899,9 676 803
Ubs Group Ag,0.22,62 305,9 451 123
Allianz SE,0.21,7 096,9 201 759
EI Du Pont de Nemours & Co,0.21,16 501,9 101 928
Starbucks Corp,0.21,24 334,9 091 428
American Express Co,0.21,15 464,9 025 169
Valeant Pharmaceuticals International...,0.2,5 428,8 834 982
Eli Lilly & Co,0.2,16 214,8 781 120
Abbott Laboratories,0.2,25 076,8 771 532
United Parcel Service Inc,0.2,11 503,8 714 026
Lowe's Cos Inc,0.2,16 790,8 712 239
Time Warner Inc,0.2,13 660,8 688 737
Danaher Corp,0.2,13 855,8 548 628
Kraft Foods Group Inc,0.2,13 290,8 487 441
Unilever Plc,0.19,25 494,8 461 151
Barclays Plc,0.19,280 996,8 307 422
SAP SE,0.19,14 362,8 260 367
Caterpillar Inc,0.19,12 497,8 181 589
Telefonica Sa,0.19,70 152,8 111 571
Nike Inc,0.19,10 858,8 087 134
The Priceline Group Inc,0.19,866,8 077 630
Dow Chemical Co/The,0.19,20 968,8 058 223
Express Scripts Holding Co,0.19,12 363,8 049 144
BNP Paribas SA,0.18,16 816,8 032 137
eBay Inc,0.18,18 217,7 997 595
Prudential Plc,0.18,42 264,7 972 729
BG Group Plc,0.18,57 972,7 938 432
Colgate-Palmolive Co,0.18,15 318,7 766 049
Occidental Petroleum Corp,0.18,12 823,7 739 880
SABMiller Plc,0.18,19 219,7 707 235
Hewlett-Packard Co,0.17,30 480,7 572 617
Softbank Corp,0.17,15 800,7 466 801
Reckitt Benckiser Group Plc,0.17,10 902,7 355 157
BT Group Plc,0.17,139 243,7 348 782
Glencore Plc,0.17,203 624,7 315 703
Accenture Plc,0.17,10 342,7 220 413
Banco Bilbao Vizcaya Argentaria Sa,0.17,94 650,7 208 258
Texas Instruments Inc,0.17,17 633,7 203 071
Monsanto Co,0.17,8 357,7 176 537
Deutsche Telekom Ag,0.16,51 474,7 160 719
Sumitomo Mitsui Financial Group Inc,0.16,21 657,7 148 618
Ford Motor Co,0.16,59 992,7 142 702
ING Groep NV,0.16,60 881,7 091 642
