Novo Nordisk A/S,7.74,105 623,45 435 001,,
Telefonaktiebolaget L.M Ericsson B,4.16,295 757,24 407 660,,
DNB ASA,3.96,173 382,23 233 188,,
Hennes & Mauritz B,3.66,71 669,21 491 617,,
Atlas Copco A,3.5,87 298,20 521 987,,
Volvo B,3.26,184 872,19 152 278,,
Sampo Oyj,3.23,51 859,18 987 016,,
AstraZeneca Plc,3.05,34 911,17 925 940,,
Investor B,3.01,57 481,17 646 802,,
Telenor ASA,2.67,92 145,15 692 294,,
ISS A/S,2.51,57 717,14 724 870,,
Teliasonera AB,2.49,311 987,14 640 208,,
Pandora A/S,2.47,18 549,14 500 795,,
DSV A/S,2.41,53 911,14 128 412,,
ABB Ltd,2.19,79 022,12 871 602,,
Marine Harvest ASA,2.17,138 337,12 733 921,,
Borregaard ASA,2.03,204 673,11 922 202,,
Scatec Solar ASA,1.98,263 685,11 628 508,,
Metso Oyj,1.9,51 918,11 148 274,,
SCA B,1.86,57 136,10 899 892,,
Autoliv Inc SDR,1.76,11 461,10 352 947,,
Stora Enso Oyj,1.62,119 721,9 532 907,,
Norsk Hydro ASA,1.49,246 457,8 771 405,,
Tomra Systems ASA,1.44,115 794,8 481 910,,
Amer Sports Oyj,1.38,42 761,8 080 742,,
Sandvik AB,1.32,81 530,7 725 278,,
Lassila & Tikanoja OYJ,1.29,51 099,7 550 814,,
Norwegian Air Shuttle Asa,1.25,23 246,7 345 736,,
Enea AB,1.21,86 695,7 119 391,,
Novozymes A/S,1.02,17 221,6 010 836,,
Vestas Wind Systems A/S,1.02,17 456,5 994 850,,
Swedish Orphan Biovitrum AB,1.01,49 040,5 930 109,,
SKF B,1,32 054,5 900 921,,
Hoist International AB,1,99 902,5 882 502,,
Nordic Nanovector Asa,0.92,155 000,5 425 000,,
Nokia Oyj,0.92,105 537,5 386 968,,
Nokian Renkaat oyj,0.9,21 547,5 296 297,,
Yara International ASA,0.87,13 217,5 107 049,,
Austevoll Seafood ASA,0.84,113 165,4 956 627,,
XXL ASA,0.83,60 899,4 856 695,,
Outokumpu oyj,0.66,84 710,3 869 682,,
Tieto Oyj,0.57,18 621,3 371 096,,
Opera Software ASA,0.34,27 549,2 022 097,,
Bouvet ASA,0.11,7 521,624 243,,
Conflux AB,0,5 083,458,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
