Roche Holding AG,6.66,58 613,127 827 713
Johnson & Johnson,6.31,162 086,121 172 427
Cigna Corp,5.67,116 000,108 950 068
Novartis AG,5.43,132 898,104 237 928
Actavis plc,4.88,43 951,93 681 184
Pfizer Inc,4.86,364 747,93 278 519
AbbVie Inc,4.31,169 786,82 727 453
Varian Medical Systems Inc,3.99,114 500,76 661 091
Aetna Inc,3.85,91 800,73 928 274
Merck & Co Inc,3.67,157 032,70 478 220
Mylan NV,3.19,112 500,61 257 963
Sanofi,3.15,78 596,60 545 581
Anthem Inc,2.94,49 600,56 411 718
Endo International PLC,2.78,84 400,53 465 021
Stryker Corp,2.19,60 400,41 982 501
GlaxoSmithKline Plc,2.03,222 132,38 957 915
Gilead Sciences Inc,1.92,48 600,36 809 305
ICON Plc,1.91,75 756,36 729 090
Medtronic PLC,1.89,64 760,36 331 524
Eli Lilly & Co,1.71,60 800,32 927 844
Quest Diagnostics Inc,1.69,60 400,32 506 399
Abbott Laboratories,1.6,88 000,30 782 216
Valeant Pharmaceuticals International...,1.6,18 809,30 739 534
PerkinElmer Inc,1.57,77 900,30 090 412
Humana Inc,1.57,24 100,30 073 879
Cvs Health Corp,1.47,37 800,28 281 952
Shire PLC,1.43,44 590,27 547 817
Unitedhealth Group Inc,1.43,32 700,27 450 169
Smith & Nephew Plc,1.38,204 411,26 440 687
Baxter International Inc,1.37,50 800,26 318 444
Align Technology,1.33,57 454,25 474 461
Mckesson Corp,1.17,13 400,22 557 971
Dentsply International Inc,1.17,58 300,22 405 302
HCA Holdings Inc,1.12,38 400,21 415 770
Bayer AG,0.96,16 775,18 439 219
Omnicare Inc,0.8,23 200,15 380 980
Laboratory Corp Of America Holdings,0.78,16 600,14 955 677
Almirall Sa,0.67,90 172,12 791 583
Perrigo Co Plc,0.66,9 200,12 706 179
Express Scripts Holding Co,0.59,17 530,11 413 208
MedAssets Inc,0.51,64 700,9 867 948
Sirona Dental Systems Inc,0.41,11 200,7 827 877
Cooper Cos Inc/The,0.18,2 600,3 488 801
ResMed Inc,0.16,6 400,3 083 647
Krka Dd Novo Mesto,0.16,5 271,3 055 462
Hologic Inc,0.14,10 200,2 593 327
Edwards Lifesciences Corp,0.12,2 500,2 385 928
Patterson Cos Inc,0.07,3 800,1 344 552
,,,
