Infosys Ltd,8.24,266 000,7 259 041
Tata Consultancy Services Ltd,6.48,165 000,5 711 685
Reliance Industries Ltd,5.71,415 000,5 028 334
Bharti Airtel Ltd,3.69,607 500,3 252 952
Maruti Suzuki India LTD,3.57,60 000,3 141 008
Hindustan Petroleum Corp Ltd,3.19,320 000,2 810 779
Power Grid Corp Of India Ltd,2.83,1 250 000,2 497 480
Larsen & Toubro Ltd,2.78,107 000,2 452 506
Coal India Ltd,2.75,475 000,2 420 993
Ultratech Cement Ltd,2.66,62 500,2 346 525
Gujarat Pipavav Port Ltd,2.65,750 000,2 335 197
Bharat Forge Ltd,2.4,120 000,2 115 587
HT Media Ltd,2.27,1 325 000,2 003 183
IRB Infrastructure Developers Ltd,2.05,550 000,1 804 052
Wonderla Holidays Ltd,2.02,475 000,1 779 288
Cipla Ltd/India,1.98,195 000,1 742 546
Hindustan Unilever Ltd,1.9,140 000,1 672 701
Bharat Petroleum Corp Ltd,1.64,134 500,1 445 221
Britannia Industries Ltd,1.58,45 000,1 389 642
Whirlpool of India Ltd,1.51,135 000,1 328 343
Sadbhav Engineering Ltd,1.45,304 400,1 274 754
Tata Motors Ltd,1.44,177 110,1 264 774
Wipro Ltd,1.29,150 000,1 135 142
Just Dial Ltd,1.15,67 500,1 015 083
V-Guard Industries Ltd,1.13,71 000,996 689
LIC Housing Finance Ltd,1.11,162 300,980 686
Cholamandalam Investment and Finance ...,1.04,110 677,918 502
Reliance Industries Ltd GDR,0.91,33 500,804 203
