Toyota Motor Corp,5,12 500,6 578 686
Sumitomo Mitsui Financial Group Inc,2.81,11 200,3 696 935
Mitsubishi Electric Corp,2.4,32 000,3 151 472
Nissan Motor Co Ltd,2.37,39 500,3 111 582
Japan Airlines Co Ltd,2.18,11 400,2 871 386
JGC Corp,2.15,18 000,2 828 504
Mizuho Financial Group Inc,2.07,189 000,2 721 791
Mitsubishi UFJ Financial Group Inc,2.06,50 322,2 712 113
Marubeni Corp,2.04,57 200,2 679 039
Softbank Corp,2.01,5 600,2 646 461
Itochu Corp,1.98,28 000,2 609 435
Otsuka Holdings Co Ltd,1.91,10 500,2 508 165
MITSUBISHI MOTORS CORP,1.9,35 900,2 502 470
Resona Holdings Inc,1.87,61 000,2 464 840
Daihatsu Motor Co Ltd,1.66,20 000,2 186 284
Mitsubishi Heavy Industries Ltd,1.57,49 000,2 060 176
Sumitomo Realty & Development Co Ltd,1.56,7 000,2 046 115
Kobe Steel Ltd,1.51,145 000,1 990 450
Canon Inc,1.5,7 300,1 968 782
Panasonic Corp,1.49,18 100,1 964 910
Sharp Corp/Japan,1.48,119 000,1 948 261
Sony Financial Holdings Inc,1.42,13 700,1 863 379
Mitsubishi Chemical Holdings Corp,1.4,39 000,1 835 213
Sony Corp,1.36,7 800,1 790 026
T&D Holdings Inc,1.29,15 500,1 692 906
Terumo Corp,1.27,8 600,1 673 338
Kddi Corp,1.27,9 300,1 663 137
Isuzu Motors Ltd,1.26,16 500,1 655 628
Hitachi Ltd,1.26,32 000,1 650 896
Toyo Suisan Kaisha Ltd,1.24,6 200,1 635 809
Honda Motor Co Ltd,1.24,6 400,1 628 731
Hitachi Construction Machinery Co Ltd,1.24,12 100,1 625 186
Mitsui & Co Ltd,1.23,15 300,1 619 037
Yamazaki Baking Co Ltd,1.23,12 000,1 614 777
Taisho Pharmaceutical Holdings Co Ltd,1.21,3 000,1 586 819
Toppan Printing Co Ltd,1.21,25 000,1 585 245
Orix Corp,1.17,13 200,1 541 443
Nippon Steel & Sumitomo Metal Corp,1.15,77 000,1 517 616
Nh Foods Ltd,1.13,9 000,1 482 542
Seven & I Holdings Co Ltd,1.12,4 500,1 466 391
Tokyu Corp,1.11,29 000,1 459 055
Fujitsu Ltd,1.1,29 000,1 448 463
Nippon Telegraph & Telephone Corp,1.07,2 767,1 408 518
Hulic Co Ltd,1.06,17 200,1 396 073
Nomura Real Estate Holdings Inc,1.05,9 000,1 383 933
Central Japan Railway Co,1.03,1 000,1 351 000
Yamada Denki Co Ltd,1.01,42 900,1 326 373
Nikkei 225 (SGX) Jun 15 / NIM5,0.94,2,1 230 414
NTT DOCOMO Inc,0.91,8 900,1 190 901
Mitsubishi Ufj Lease & Finance Co Ltd,0.9,29 100,1 183 729
TonenGeneral Sekiyu KK,0.83,15 000,1 085 271
Hitachi Metals Ltd,0.81,9 000,1 066 002
Oriental Land Co Ltd/Japan,0.78,2 000,1 021 105
Seiko Epson Corp,0.74,7 400,979 004
Murata Manufacturing Co Ltd,0.73,900,961 726
Shimamura Co Ltd,0.69,1 200,903 731
Aeon Co Ltd,0.69,9 600,901 313
Kao Corp,0.66,2 400,868 821
Keyence Corp,0.62,200,809 529
Nippon Yusen KK,0.62,34 000,809 278
Astellas Pharma Inc,0.59,6 600,776 956
Fujifilm Holdings Corp,0.59,2 700,771 024
YAMATO KOGYO CO LTD,0.56,4 100,730 887
Toyoda Gosei Co Ltd,0.53,4 000,700 467
Mitsui Fudosan Co Ltd,0.51,3 000,672 792
Sumitomo Dainippon Pharma Co Ltd,0.49,7 600,645 583
Nintendo Co Ltd,0.49,500,639 765
Kyocera Corp,0.48,1 600,631 806
Tokyo Electric Power Co Inc,0.48,20 300,626 353
Unicharm Corp,0.45,3 100,588 735
AEON Mall Co Ltd,0.43,4 000,564 202
Takashimaya Co Ltd,0.43,8 000,564 202
Dentsu Inc,0.43,1 600,562 187
Osaka Gas Co Ltd,0.41,17 000,545 085
Hoya Corp,0.4,1 800,526 030
Omron Corp,0.4,1 500,521 383
Takeda Pharmaceutical Co Ltd,0.38,1 300,504 010
Shiseido Co Ltd,0.37,3 600,490 214
Nomura Holdings Inc,0.35,9 500,462 652
Kirin Holdings Co Ltd,0.35,4 600,459 397
Hikari Tsushin Inc,0.34,900,453 377
Konica Minolta Inc,0.34,5 400,451 903
Ibiden Co Ltd,0.33,3 300,436 375
Tokyo Gas Co Ltd,0.33,10 000,436 060
Hakuhodo Dy Holdings Inc,0.31,5 100,412 667
Daiichi Sankyo Co Ltd,0.31,3 100,407 098
Chubu Electric Power Co Inc,0.3,4 000,399 601
Nec Corp,0.29,15 000,379 703
GungHo Online Entertainment Inc,0.28,11 700,362 475
Rohm Co Ltd,0.24,600,315 097
Ntt Data Corp,0.23,900,304 896
Kansai Electric Power Co Inc/The,0.23,4 000,304 014
Tohoku Electric Power Co Inc,0.19,2 600,246 725
Tokyo Electron Ltd,0.16,500,207 798
Yahoo Japan Corp,0.13,5 600,173 140
Hokuriku Electric Power Co,0.08,900,100 536
Advantest Corp,0.07,1 000,89 227
