BW LPG Ltd,9,,9 101 139
Subsea 7 SA,8.42,,8 520 838
Hoegh Lng Holdings Ltd,7.95,,8 042 296
Tgs Nopec Geophysical Co Asa,7.04,,7 118 639
Seadrill Ltd,6.33,,6 406 987
Petroleum Geo-Services ASA,4.81,,4 862 869
Frontline 2012 Ltd,4.43,,4 481 432
Wilh Wilhelmsen Asa,4.38,,4 435 660
Tanker Investments Ltd,4.25,,4 300 322
Avance Gas Holding Ltd,4.23,,4 278 471
Schlumberger Ltd,3.11,,3 150 813
DHT Holdings Inc,2.81,,2 844 085
Electromagnetic Geoservices,2.78,,2 814 643
Technip SA,2.5,,2 526 254
Aker Solutions ASA,2.31,,2 341 944
Golden Ocean Group Ltd,2.26,,2 290 056
Wilh Wilhelmsen Holding Asa,2.18,,2 210 119
BW Offshore Ltd,2.1,,2 120 079
EDS Group AS,2.08,,2 103 344
Stolt-Nielsen LTD,2.03,,2 052 818
Dolphin Group As,1.98,,2 001 465
Halliburton Co,1.67,,1 689 478
Wilh Wilhelmsen Holding Asa B-Shares,1.28,,1 297 726
Cameron International Corp,1.07,,1 086 831
Epic Gas Ltd,0.96,,967 521
Euronav NV,0.74,,752 589
Awilco Lng As,0.71,,716 598
Akastor ASA,0.68,,687 186
Kvaerner ASA,0.68,,686 944
Fred Olsen Energy ASA,0.42,,429 056
Bergen Group AS,0.36,,360 777
Polarcus Ltd,0.29,,293 527
Containership Co Asa/The,0,,959
