Oracle Corp,8.24,1 047 300,344 245 950
Samsung Electronics Co Ltd GDR,7.53,63 401,314 603 798
Google Inc A-Shares,6.75,68 175,281 921 101
Playtech Plc,6.42,2 815 718,268 025 596
Mellanox Technologies Ltd,4.48,533 420,186 870 572
Cisco Systems Inc,4.42,849 803,184 618 397
Telefonaktiebolaget L.M Ericsson B,3.93,1 985 952,163 892 791
AVG Technologies NV,3.52,814 875,146 880 534
The Priceline Group Inc,3.15,14 100,131 517 993
Adva Optical Networking Se,2.99,3 075 704,124 660 564
King Digital Entertainment Plc,2.98,1 036 241,124 234 731
Netgear Inc,2.96,541 009,123 403 928
Qualcomm Inc,2.7,219 900,112 679 839
Telenor ASA,2.22,545 449,92 889 965
SAP SE,2.18,158 426,91 064 066
Canadian Solar Inc,1.98,310 100,82 721 253
Activision Blizzard Inc,1.96,475 900,81 817 886
QLogic Corp,1.92,723 219,80 112 307
Tieto Oyj,1.73,398 762,72 190 801
Salesforce.com Inc,1.65,125 900,69 085 750
Oclaro Inc,1.62,4 665 347,67 498 987
Intel Corp,1.52,258 900,63 503 128
Hewlett-Packard Co,1.5,252 600,62 757 317
Toshiba Corp,1.49,2 049 000,62 086 097
Zynga Inc,1.21,2 746 300,50 702 122
Cyan Inc,1.18,1 745 921,49 073 326
Apple Inc,1.14,50 300,47 436 312
Nokia Oyj,1.11,907 294,46 311 373
Enea AB,1.05,533 038,43 773 065
Teliasonera AB,1.05,930 897,43 682 991
Xilinx Inc,1.01,129 300,42 247 389
Lenovo Group Ltd,0.89,2 844 000,37 049 327
Opera Software ASA,0.79,450 174,33 042 772
GameLoft SE,0.79,826 702,32 878 592
Jds Uniphase Corp,0.75,329 748,31 432 923
Kulicke & Soffa Industries Inc,0.75,274 500,31 254 956
O2micro International Ltd ADR,0.63,1 525 973,26 447 630
Google Inc C-Shares,0.58,5 991,24 258 311
Anite PLC,0.56,2 379 083,23 417 677
Millennial Media Inc,0.56,2 001 100,23 372 898
Finisar Corp,0.55,148 772,22 791 382
Alcatel-Lucent,0.52,808 322,21 506 816
Ubisoft Entertainment,0.5,150 427,20 875 593
Quebecor Inc,0.43,87 665,18 095 930
Blinkx PLC,0.42,4 372 285,17 721 146
Bouvet ASA,0.35,174 694,14 499 602
Atmel Corp,0.31,229 600,13 114 543
Tdc A/S,0.31,221 027,12 897 827
Yingli Green Energy Holding Co Ltd ADR,0.3,884 264,12 327 237
SanDisk Corp,0.28,23 200,11 702 692
Parrot Sa,0.24,51 366,10 192 646
,,,
