Statoil ASA,17.64,1 165 740,185 352 660,STL.OL
DNB ASA,13.05,1 023 779,137 186 386,DNB.OL
Telenor ASA,12.74,786 451,133 932 605,TEL.OL
Yara International ASA,6.91,188 011,72 647 450,YRAIF
Norsk Hydro ASA,5.07,1 495 845,53 237 124,NHY.OL
Orkla ASA,4.8,853 938,50 467 736,ORK.OL
Schibsted ASA,3.77,84 390,39 604 227,SCH.OL
Royal Caribbean Cruises Ltd,3.23,65 941,33 926 644,RCL
Marine Harvest ASA,2.82,322 395,29 676 460,MHG.OL
Gjensidige Forsikring ASA,2.61,209 490,27 464 139,GJF.OL
Subsea 7 SA,2.2,275 835,23 073 598,SUBC.OL
Seadrill Ltd,1.98,218 413,20 847 521,SDRL.OL
Tgs Nopec Geophysical Co Asa,1.94,106 369,20 359 027,TGSFUT.OL
Storebrand ASA,1.19,468 796,12 498 101,STB.OL
OBX INDEX FUTURE May 15 / OIK5,1.15,209,12 091 486,OBX5F.OL
Petroleum Geo-Services ASA,1.06,224 303,11 188 234,PGS.OL
Veidekke ASA,0.99,113 020,10 454 350,VEI.OL
Opera Software ASA,0.98,140 030,10 278 202,OPERA.OL
Kongsberg Gruppen Asa,0.98,63 383,11 278 202,KOG.OL
Norwegian Air Shuttle Asa,0.94,31 310,12 278 202,NOR.OL
Nordic Semiconductor Asa,0.94,171 427,13 278 202,NOD.OL
Tomra Systems ASA,0.87,124 998,14 278 202,
DNO ASA,0.86,637 603,15 278 202,DTNOY
Bakkafrost P/F,0.82,48 699,16 278 202,BAKKA.OL
Atea ASA,0.7,87 990,17 278 202,ATEA.OL
Aker Solutions ASA,0.68,156 751,18 278 202,
Entra ASA,0.64,87 361,19 278 202,
Prosafe SE,0.64,249 321,20 278 202,
Salmar ASA,0.62,53 206,21 278 202,
Det Norske Oljeselskap ASA,0.55,106 133,22 278 202,
BW LPG Ltd,0.54,85 657,23 278 202,
Olav Thon Eiendomsselskap Asa,0.53,33 741,24 278 202,
XXL ASA,0.5,65 859,25 278 202,
Aker ASA,0.43,26 752,26 278 202,
Af Gruppen Asa,0.42,42 186,27 278 202,
REC Solar ASA,0.41,42 264,28 278 202,
REC Silicon ASA,0.39,1 937 287,29 278 202,
Ekornes ASA,0.33,33 075,30 278 202,
Stolt-Nielsen LTD,0.33,24 558,31 278 202,
Wilh Wilhelmsen Asa,0.33,69 737,32 278 202,
Norwegian Property ASA,0.28,289 671,33 278 202,
Kongsberg Automotive ASA,0.25,426 241,34 278 202,
Wilh Wilhelmsen Holding Asa,0.25,14 597,35 278 202,
_Stolt-Nielsen LTD,0.22,436 118,36 278 202,
Fred Olsen Energy ASA,0.22,34 708,37 278 202,
Akastor ASA,0.22,156 742,38 278 202,
Scatec Solar ASA,0.21,49 564,39 278 202,
Wilh Wilhelmsen Holding Asa B-Shares,0.18,10 657,40 278 202,
Golden Ocean Group Ltd,0.14,38 657,41 278 202,
Weifa ASA,0.12,1 377 942,42 278 202,
American Shipping Asa,0.11,37 099,43 278 202,
Biotec Pharmacon ASA,0.07,45 971,44 278 202,
Bionor Pharma ASA,0.06,202 980,45 278 202,
