,6.34,220 827,72 585 506
Citigroup Inc,4.83,137 604,55 288 305
Google Inc A-Shares,3.94,10 896,45 057 753
Cisco Systems Inc,3.49,183 952,39 963 290
Starbucks Corp,3.32,101 662,37 981 949
Exxon Mobil Corp,3.27,56 877,37 446 488
Johnson & Johnson,3.19,48 767,36 454 386
Apple Inc,3.07,37 203,35 084 952
Metlife Inc,2.66,78 681,30 409 876
Coca-Cola Co/The,2.63,98 516,30 110 418
General Electric Co,2.59,145 498,29 690 517
Cigna Corp,2.45,29 807,27 995 471
Anadarko Petroleum Corp,2.26,36 484,25 870 460
Quebecor Inc,2.25,125 014,25 805 562
AbbVie Inc,2.25,52 819,25 735 816
Mattel Inc,2.21,119 285,25 312 239
Carnival Corp,2.15,74 365,24 639 797
Varian Medical Systems Inc,2.1,35 961,24 076 939
Cvs Health Corp,2.05,31 305,23 422 395
International Flavors & Fragrances Inc,1.93,25 502,22 051 544
JPMorgan Chase & Co,1.85,44 516,21 220 587
Mylan NV,1.78,37 400,20 364 870
NextEra Energy Inc,1.7,25 639,19 499 947
Walt Disney Co/The,1.68,23 456,19 216 552
Synchrony Financial,1.56,76 123,17 868 415
Emerson Electric Co,1.5,38 665,17 140 715
EOG Resources Inc,1.49,22 863,17 047 515
King Digital Entertainment Plc,1.46,139 459,16 719 712
AGCO Corp,1.43,42 049,16 321 471
Prologis Inc,1.42,53 612,16 240 528
Qualcomm Inc,1.33,29 753,15 245 854
Bed Bath & Beyond Inc,1.28,27 573,14 639 921
Mellanox Technologies Ltd,1.27,41 465,14 526 242
Occidental Petroleum Corp,1.26,23 800,14 365 526
NRG Energy Inc,1.24,74 313,14 134 037
Parker-Hannifin Corp,1.22,15 554,13 989 847
Aetna Inc,1.19,16 870,13 585 730
Fifth Third Bancorp,1.18,89 951,13 556 515
Mosaic Co/The,1.17,40 249,13 345 039
Time Warner Inc,1.16,20 873,13 276 722
Union Pacific Corp,1.15,16 422,13 145 748
Newfield Exploration Co,1.13,43 700,12 925 078
Netgear Inc,1.05,52 791,12 041 605
Pfizer Inc,1.03,46 071,11 779 411
SanDisk Corp,0.87,19 700,9 937 199
WhiteWave Foods Co,0.85,29 253,9 692 570
Renaissancere Holdings Ltd,0.78,11 601,8 959 608
Mead Johnson Nutrition Co,0.78,12 278,8 874 602
Hain Celestial,0.77,19 439,8 824 111
Franklin Resources Inc,0.71,21 010,8 163 023
Quanta Services Inc,0.68,35 918,7 824 783
